iter	Passed	Remaining
947	25113	1377
948	25131	1350
949	25150	1323
950	25183	1297
951	25264	1273
952	25320	1248
953	25339	1221
954	25367	1195
955	25387	1168
956	25404	1141
957	25425	1114
958	25451	1088
959	25482	1061
960	25506	1035
961	25524	1008
962	25542	981
963	25566	954
964	25589	928
965	25614	901
966	25631	874
967	25655	848
968	25682	821
969	25703	794
970	25725	768
971	25746	741
972	25770	715
973	25797	688
974	25818	662
975	25852	635
976	25886	609
977	25908	582
978	25937	556
979	25962	529
980	25988	503
981	26012	476
982	26037	450
983	26058	423
984	26079	397
985	26104	370
986	26124	344
987	26144	317
988	26171	291
989	26195	264
990	26227	238
991	26249	211
992	26275	185
993	26308	158
994	26334	132
995	26361	105
996	26383	79
997	26416	52
998	26444	26
999	26472	0
